Timestamp,Meet,Activity,Where,Instrument,Celebrity,Conversation,Re-Born
15/11/2023 17:30:26,Friends,having as much fun as possible,outside in the natural world,Pipe organ,Stephen Hawking,Scientific / Philisophical,Human
15/11/2023 17:32:21,Partner,having as much fun as possible,outside in the natural world,Pipe organ,Stephen Hawking,Scientific / Philisophical,Human with A.I features
15/11/2023 17:33:29,Family,having an existential crisis,inside on the internet,The Recorder,David Attenborough,Scientific / Philisophical,Human
15/11/2023 17:33:48,Family,having as much fun as possible,outside in the natural world,Pipe organ,Stephen Hawking,Scientific / Philisophical,Human
15/11/2023 18:09:45,Family,having as much fun as possible,outside in the natural world,Pipe organ,Stephen Hawking,Scientific / Philisophical,Human with A.I features
15/11/2023 18:17:50,Family,having as much fun as possible,inside on the internet,Pipe organ,Stephen Hawking,Scientific / Philisophical,Human with A.I features
15/11/2023 19:49:17,Friends,having an existential crisis,inside on the internet,The Recorder,Stephen Hawking,Scientific / Philisophical,Human
15/11/2023 22:44:47,Family,attempting to stop the world ending,outside in the natural world,The Recorder,Stephen Hawking,Entertaining / Light-hearted,Human with A.I features
16/11/2023 07:46:54,Partner,having as much fun as possible,outside in the natural world,The Recorder,Stephen Hawking,Scientific / Philisophical,Human
16/11/2023 10:58:15,Family,having as much fun as possible,outside in the natural world,Pipe organ,Stephen Hawking,Entertaining / Light-hearted,Human
16/11/2023 11:02:33,Family,having as much fun as possible,outside in the natural world,The Recorder,Oprah Winfrey,Entertaining / Light-hearted,Human with A.I features
16/11/2023 12:02:22,Nobody,having as much fun as possible,outside in the natural world,Pipe organ,David Attenborough,Scientific / Philisophical,Human
16/11/2023 12:16:39,Family,having as much fun as possible,outside in the natural world,Maracas,Lady Gaga,Scientific / Philisophical,Human
16/11/2023 13:29:34,Family,having as much fun as possible,outside in the natural world,The Recorder,Lady Gaga,Scientific / Philisophical,Human with A.I features
